,transaction_id,transaction_datetime,customer_id,product_id,product_lvl1,product_lvl2,product_lvl3,product_lvl4,brand,price,description,rating,num_sold,quantity,unit_price,total_amount,payment_id,promotion_id,transaction_status,transaction_type,store_id
2321,2321,2022-03-31 17:13:37,7390,146,Siêu thị đồ ăn,Thực phẩm đóng gói,Kẹo,Kẹo sữa dừa,Orion,12000,Kẹo sữa dừa Orion - Vị ngọt dịu dàng thơm mát.,4.6,226,1,12000,12000,2321.0,2321.0,Đã giao hàng,Hoàn tiền,8752
2322,2322,2020-09-07 11:34:36,3451,103,Laptop và Máy tính,Laptop,MacBook,MacBook Air,Apple,27990000,Apple MacBook Air 2020 - Máy tính xách tay siêu mỏng và nhẹ.,4.7,687,0,27990000,0,2322.0,,Thành công,Hoàn tiền,8609
2323,2323,2020-12-04 21:00:25,7711,139,Rau củ,Rau,Rau muống,Rau muống sạch,Local Farms,10000,Rau muống sạch Local Farms - Tươi ngon và giàu vitamin A.,4.6,1627,0,10000,0,2323.0,2323.0,Đã hủy,Thẻ tín dụng,8275
2324,2324,2022-12-24 08:51:31,9218,86,Siêu thị đồ ăn,Thực phẩm đóng hộp,Nước chấm,Nước chấm chua ngọt,Dipping Delights,15000,Nước chấm chua ngọt Dipping Delights - Kết hợp vị chua ngọt độc đáo.,,1469,2,15000,30000,,2324.0,Đã hủy,Mua hàng,8199
2325,2325,2022-12-04 08:09:09,108,6,Thương mại điện tử,Điện thoại di động,Điện thoại iPhone,iPhone 13 Pro,Apple,33000000,Điện thoại iPhone 13 Pro - Thiết kế tinh tế và hiệu năng mạnh mẽ.,4.9,1404,0,33000000,0,2325.0,,Thành công,Thanh toán,8247
2326,2326,2022-12-24 07:18:53,6988,120,Tiêu dùng nhanh,Đồ ăn nhẹ,Bánh quy,Bánh quy socola,Sweet Treats,15000,Bánh quy socola Sweet Treats - Ăn vặt ngọt ngào và thơm ngon.,4.9,761,13,15000,195000,2326.0,,Đang xử lý,Thanh toán,8506
2327,2327,2022-03-26 10:22:44,5364,39,Thiết bị điện tử,Đồng hồ thông minh,Đồng hồ thông minh Garmin,Đồng hồ thông minh Garmin Venu 2S,Garmin,5899000,Đồng hồ thông minh Garmin Venu 2S - Theo dõi sức khỏe và hoạt động.,4.5,551,0,5899000,0,2327.0,,Đã hủy,Thẻ tín dụng,8254
2328,2328,2022-12-18 21:37:30,8148,17,Túi xách và Ví,Túi xách nữ,Túi xách nữ thời trang,Túi xách nữ thời trang Fossil,Fossil,2099000,Túi xách nữ thời trang Fossil - Phong cách trẻ trung và năng động.,2.9,215,17,2099000,35683000,,,Thành công,Mua hàng,8070
2329,2329,2022-12-20 03:17:39,8138,36,Siêu thị đồ ăn,Thực phẩm đóng hộp,Đậu hũ,Đậu hũ hấp,Tofu Brand,20000,Đậu hũ hấp Tofu Brand - Dinh dưỡng và ngon miệng.,3.2,256,1,20000,20000,2329.0,2329.0,Đã hoàn trả,Thanh toán trực tuyến,8287
2330,2330,2022-01-12 18:59:58,5876,12,Phụ kiện điện thoại,Ốp lưng điện thoại,Ốp lưng điện thoại iPhone,Ốp lưng điện thoại iPhone Silicone,Apple,490000,Ốp lưng điện thoại iPhone Silicone - Bảo vệ an toàn cho iPhone.,4.7,397,19,490000,9310000,2330.0,2330.0,Đã tiếp nhận,Thẻ ghi nợ,8350
2331,2331,2020-05-09 09:30:13,313,146,Siêu thị đồ ăn,Thực phẩm đóng gói,Kẹo,Kẹo sữa dừa,Orion,12000,Kẹo sữa dừa Orion - Vị ngọt dịu dàng thơm mát.,4.6,226,0,12000,0,2331.0,2331.0,Đã hoàn trả,Mua hàng,8379
2332,2332,2022-05-18 21:50:03,2284,17,Túi xách và Ví,Túi xách nữ,Túi xách nữ thời trang,Túi xách nữ thời trang Fossil,Fossil,2099000,Túi xách nữ thời trang Fossil - Phong cách trẻ trung và năng động.,2.9,215,8,2099000,16792000,,2332.0,Đã giao hàng,Mua hàng,8287
2333,2333,2021-12-10 11:33:38,1004,116,Thương mại điện tử,Máy ảnh,Máy ảnh DSLR,Canon EOS 90D,Canon,25000000,Máy ảnh Canon EOS 90D - Chụp ảnh chất lượng cao và quay video 4K.,4.7,1361,11,25000000,275000000,,,Đã tiếp nhận,Thanh toán,8442
2334,2334,2022-03-14 15:32:00,802,90,Siêu thị đồ ăn,Thực phẩm tươi sống,Rau cải,Rau cải xanh,Farm Fresh,15000,Rau cải xanh Farm Fresh - Tươi ngon và giàu dinh dưỡng.,4.7,287,0,15000,0,,2334.0,Thành công,Thanh toán,8633
2335,2335,2022-12-23 04:51:30,177,50,Quần áo,Áo thun,Áo thun nữ,Áo thun nữ H&M,H&M,150000,Áo thun nữ H&M - Thời trang và thoải mái.,4.6,933,18,150000,2700000,2335.0,2335.0,Đã hoàn trả,Hoàn tiền,8828
2336,2336,2022-01-10 10:00:29,4148,2,Tiêu dùng nhanh,Đồ ăn nhanh,Mỳ tôm,Mỳ tôm hải sản,Instant Noodles,10000,Mỳ tôm hải sản Instant Noodles - Ăn nhanh tiện lợi và thơm ngon.,4.6,290,0,10000,0,2336.0,2336.0,Đã giao hàng,Thanh toán,8226
2337,2337,2022-05-13 06:30:46,8595,131,Thể thao và Dã ngoại,Xe đạp đua,Xe đạp đua địa hình,Xe đạp đua địa hình Trek Procaliber,Trek,24990000,Xe đạp đua địa hình Trek Procaliber - Sự lựa chọn hàng đầu của những tay đua chuyên nghiệp.,4.9,423,4,24990000,99960000,2337.0,,Đã tiếp nhận,Mua hàng,8966
2338,2338,2020-08-17 22:14:56,7439,39,Thiết bị điện tử,Đồng hồ thông minh,Đồng hồ thông minh Garmin,Đồng hồ thông minh Garmin Venu 2S,Garmin,5899000,Đồng hồ thông minh Garmin Venu 2S - Theo dõi sức khỏe và hoạt động.,4.5,551,17,5899000,100283000,,,Đã xác nhận,Thẻ ghi nợ,8630
2339,2339,2022-12-20 18:19:19,4481,27,Điện thoại di động,Smartphone,Galaxy,Galaxy S21,Samsung,17990000,Samsung Galaxy S21 128GB - Sự tiếp nối xuất sắc trong dòng Galaxy S.,4.7,1554,0,17990000,0,2339.0,2339.0,Đang xử lý,Thanh toán trực tuyến,8181
2340,2340,2022-11-07 05:30:22,348,37,Giày dép và Phụ kiện,Giày cao gót,Giày cao gót nữ,Giày cao gót nữ mũi nhọn,Jimmy Choo,7599000,Giày cao gót nữ mũi nhọn Jimmy Choo - Sự thanh lịch và quyến rũ.,,1738,0,7599000,0,2340.0,,Đã tiếp nhận,Thẻ tín dụng,8139
2341,2341,2022-03-09 10:20:00,9589,108,Thương mại điện tử,Điện thoại di động,Điện thoại Samsung,Samsung Galaxy S21,Samsung,25000000,Điện thoại Samsung Galaxy S21 - Màn hình AMOLED đẹp và camera chất lượng cao.,4.8,1591,2,25000000,50000000,2341.0,,Đang xử lý,Mua hàng,8338
2342,2342,2022-12-20 23:37:24,3213,3,Thời trang Nam/Nữ,Áo sơ mi,Áo sơ mi nam,Áo sơ mi nam trắng,Zara,590000,Áo sơ mi nam trắng Zara - Phong cách lịch lãm và trẻ trung.,4.7,760,3,590000,1770000,,,Đã hủy,Mua hàng,8366
2343,2343,2020-08-14 15:28:44,1408,12,Phụ kiện điện thoại,Ốp lưng điện thoại,Ốp lưng điện thoại iPhone,Ốp lưng điện thoại iPhone Silicone,Apple,490000,Ốp lưng điện thoại iPhone Silicone - Bảo vệ an toàn cho iPhone.,4.7,397,4,490000,1960000,2343.0,2343.0,Đã hủy,Thẻ tín dụng,8777
2344,2344,2022-08-05 16:31:17,7671,133,Siêu thị,Thực phẩm đóng hộp,Sữa đặc,Sữa đặc hộp pha,Nestle,35000,Sữa đặc hộp pha Nestle - Thơm ngon và bổ dưỡng.,3.7,1657,3,35000,105000,2344.0,2344.0,Đã giao hàng,Mua hàng,8481
2345,2345,2022-12-14 09:12:54,7008,137,Làm đẹp và Chăm sóc cá nhân,Máy tạo kiểu tóc,Máy tạo kiểu tóc 2 trong 1,Máy tạo kiểu tóc 2 trong 1 Philips,Philips,549000,Máy tạo kiểu tóc 2 trong 1 Philips - Tạo kiểu tóc dễ dàng.,4.7,977,0,549000,0,2345.0,,Thành công,Mua hàng,8348
2346,2346,2021-06-27 11:49:09,6544,86,Siêu thị đồ ăn,Thực phẩm đóng hộp,Nước chấm,Nước chấm chua ngọt,Dipping Delights,15000,Nước chấm chua ngọt Dipping Delights - Kết hợp vị chua ngọt độc đáo.,,1469,0,15000,0,2346.0,2346.0,Đã hủy,Thẻ tín dụng,8053
2347,2347,2016-10-02 09:19:43,7241,22,Siêu thị đồ ăn,Thực phẩm đóng gói,Bánh quy,Bánh quy sữa,Biscuit Masters,15000,Bánh quy sữa Biscuit Masters - Ăn vặt ngon miệng.,4.7,321,13,15000,195000,2347.0,,Đã giao hàng,Thẻ tín dụng,8163
2348,2348,2022-03-10 22:00:05,1080,114,Siêu thị đồ ăn,Thực phẩm đóng hộp,Sữa,Sữa đặc hộp,Nestle,25000,Sữa đặc hộp Nestle - Thơm ngon và bổ dưỡng.,2.3,218,8,25000,200000,2348.0,,Đang xử lý,Mua hàng,8812
2349,2349,2020-09-06 10:49:19,4286,59,Sách,Sách triết học,Triết lý sống,Điều Còn Lại Sau Khi Chết,NXB Văn Học,75000,Sách triết học 'Điều Còn Lại Sau Khi Chết' - Suy ngẫm về ý nghĩa cuộc sống và cái chết.,4.9,1798,1,75000,75000,2349.0,,Đã xác nhận,Thẻ ghi nợ,8201
2350,2350,2022-03-20 19:04:02,6482,88,Thương mại điện tử,Máy tính xách tay,Laptop Dell,Laptop Dell XPS 13,Dell,32000000,Laptop Dell XPS 13 - Mỏng nhẹ và hiệu năng cao.,5.0,205,2,32000000,64000000,2350.0,,Đã tiếp nhận,Hoàn tiền,8965
2351,2351,2022-02-04 15:16:38,2614,70,Rau củ,Rau,Cải ngọt,Cải ngọt trắng,Farmers' Market,15000,Cải ngọt trắng Farmers' Market - Tươi ngon và giàu chất dinh dưỡng.,4.7,917,16,15000,240000,2351.0,2351.0,Đã giao hàng,Hoàn tiền,8594
2352,2352,2018-08-16 00:34:19,2563,32,Đồ chơi và Trò chơi,Xếp hình,Xếp hình 3D,Xếp hình 3D Big Ben,Ravensburger,590000,Xếp hình 3D Big Ben Ravensburger - Giải trí và thư giãn cho cả gia đình.,2.6,657,15,590000,8850000,2352.0,,Đã hủy,Thẻ ghi nợ,8175
2353,2353,2022-12-23 02:50:21,6691,124,Quần áo,Áo sơ mi,Áo sơ mi nam,Áo sơ mi Uniqlo,Uniqlo,450000,Áo sơ mi Uniqlo - Thời trang và lịch sự.,,1168,6,450000,2700000,2353.0,2353.0,Đã hủy,Thanh toán,8194
2354,2354,2017-08-21 00:32:12,2093,93,Tiêu dùng nhanh,Đồ uống,Trà sữa,Trà sữa trân châu đường đen,Milk Tea House,45000,Trà sữa trân châu đường đen Milk Tea House - Hương vị ngọt ngào và ngon miệng.,4.6,788,1,45000,45000,2354.0,,Đã giao hàng,Thanh toán,8706
2355,2355,2022-02-24 02:38:40,8087,26,Siêu thị đồ ăn,Thực phẩm tươi sống,Hoa quả,Xoài,Tropical Fruits,30000,Xoài Tropical Fruits - Ngọt ngon và giàu vitamin C.,,1351,1,30000,30000,2355.0,2355.0,Đang xử lý,Mua hàng,8904
2356,2356,2022-10-26 22:04:32,5067,6,Thương mại điện tử,Điện thoại di động,Điện thoại iPhone,iPhone 13 Pro,Apple,33000000,Điện thoại iPhone 13 Pro - Thiết kế tinh tế và hiệu năng mạnh mẽ.,4.9,1404,1,33000000,33000000,2356.0,2356.0,Đã xác nhận,Thẻ ghi nợ,8652
2357,2357,2022-12-14 07:07:17,7169,112,Sách,Sách tự lực,Sách phát triển bản thân,Nhà Giàu Kẻ Khó,NXB Trẻ,72000,Sách phát triển bản thân 'Nhà Giàu Kẻ Khó' - Cẩm nang tự lực và thành công.,4.7,584,19,72000,1368000,2357.0,,Đã xác nhận,Thẻ tín dụng,8729
2358,2358,2022-03-24 14:37:14,8020,64,Laptop và Máy tính,Máy tính bảng,iPad,iPad Air,Apple,16990000,Apple iPad Air 10.9-inch - Máy tính bảng siêu mỏng và nhẹ.,4.8,1773,2,16990000,33980000,2358.0,,Đã giao hàng,Hoàn tiền,8090
2359,2359,2022-12-05 17:51:27,4052,36,Siêu thị đồ ăn,Thực phẩm đóng hộp,Đậu hũ,Đậu hũ hấp,Tofu Brand,20000,Đậu hũ hấp Tofu Brand - Dinh dưỡng và ngon miệng.,3.2,256,0,20000,0,2359.0,2359.0,Đã tiếp nhận,Mua hàng,8116
2360,2360,2022-12-06 11:10:25,9374,26,Siêu thị đồ ăn,Thực phẩm tươi sống,Hoa quả,Xoài,Tropical Fruits,30000,Xoài Tropical Fruits - Ngọt ngon và giàu vitamin C.,,1351,15,30000,450000,2360.0,2360.0,Đã hủy,Hoàn tiền,8113
2361,2361,2022-04-28 05:08:02,4090,126,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây da,Đồng hồ nữ dây da Daniel Wellington,Daniel Wellington,2799000,Đồng hồ nữ dây da Daniel Wellington - Phong cách tinh tế và thanh lịch.,2.3,82,10,2799000,27990000,2361.0,2361.0,Đã hủy,Mua hàng,8018
2362,2362,2022-01-02 16:28:28,8308,62,Đồng hồ,Đồng hồ nam,Đồng hồ nam dây da,Đồng hồ nam dây da Tissot,Tissot,4790000,Đồng hồ nam dây da Tissot - Phong cách lịch lãm và sang trọng.,4.7,668,0,4790000,0,2362.0,,Thành công,Mua hàng,8707
2363,2363,2020-10-16 05:19:56,1864,53,Đồ chơi và Trò chơi,Búp bê,Búp bê Barbie,Búp bê Barbie dạo phố,Barbie,299000,Búp bê Barbie dạo phố - Bạn đồng hành đáng yêu của bé gái.,4.9,1232,19,299000,5681000,2363.0,2363.0,Đã giao hàng,Mua hàng,8173
2364,2364,2022-11-16 11:03:14,2332,51,Máy ảnh và Máy quay phim,Máy ảnh du lịch,Máy ảnh du lịch Sony Alpha,Máy ảnh du lịch Sony Alpha a6400,Sony,17490000,Máy ảnh du lịch Sony Alpha a6400 - Chất lượng hình ảnh nổi bật.,3.9,1352,1,17490000,17490000,2364.0,,Đã giao hàng,Thanh toán,8075
2365,2365,2022-12-21 20:12:32,8648,35,Sách,Sách tiểu thuyết,Tiểu thuyết kinh dị,It,Stephen King,125000,Tiểu thuyết kinh dị 'It' của Stephen King - Cuốn sách kinh dị và căng thẳng.,4.7,544,9,125000,1125000,2365.0,,Thành công,Mua hàng,8887
2366,2366,2022-03-17 13:36:41,1378,145,Sách,Sách triết học,Triết lý cuộc sống,Từ Tốt Đến Vĩ Đại,Jim Collins,89000,Sách triết học 'Từ Tốt Đến Vĩ Đại' của Jim Collins - Cuốn sách giúp doanh nghiệp phát triển và thành công.,4.7,1119,0,89000,0,2366.0,2366.0,Đã giao hàng,Thanh toán trực tuyến,8506
2367,2367,2022-02-26 16:22:07,6585,81,Máy ảnh và Máy quay phim,Máy ảnh chuyên nghiệp,Máy ảnh chuyên nghiệp DSLR,Máy ảnh chuyên nghiệp DSLR Canon EOS 5D Mark IV,Canon,56490000,Máy ảnh chuyên nghiệp DSLR Canon EOS 5D Mark IV - Chất lượng hình ảnh tuyệt vời.,4.9,147,1,56490000,56490000,,,Đã tiếp nhận,Thẻ ghi nợ,8528
2368,2368,2021-05-24 11:12:58,7245,7,Siêu thị,Thực phẩm đóng gói,Gạo,Gạo thơm,Premium Rice,45000,Gạo thơm Premium Rice - Thơm ngon và đậm đà hương vị.,4.9,344,0,45000,0,,,Đã giao hàng,Thẻ tín dụng,8400
2369,2369,2022-12-20 21:07:27,2645,25,Tiêu dùng nhanh,Đồ ăn nhẹ,Kẹo,Kẹo caramen,Candy World,8000,Kẹo caramen Candy World - Vị ngọt dịu dàng và thơm ngon.,5.0,213,0,8000,0,2369.0,2369.0,Đã hủy,Mua hàng,8096
2370,2370,2022-09-06 21:32:21,4370,29,Đồ chơi và Trò chơi,Lego,Lego Technic,Lego Technic Excavator,Lego,899000,Lego Technic Excavator - Bộ lắp ráp siêu hấp dẫn với công nghệ động cơ.,1.9,549,3,899000,2697000,,,Đã hoàn trả,Thẻ tín dụng,8497
2371,2371,2022-05-23 13:51:03,8088,8,Túi xách và Ví,Ví nam,Ví nam da bò,Ví nam da bò Montblanc,Montblanc,4999000,Ví nam da bò Montblanc - Phong cách sang trọng và thanh lịch.,4.8,226,5,4999000,24995000,,,Đã tiếp nhận,Thẻ tín dụng,8982
2372,2372,2021-05-19 04:30:37,6418,16,Siêu thị đồ ăn,Thực phẩm đông lạnh,Hải sản,Cá hồi tươi,Fresh Seafood,70000,Cá hồi tươi Fresh Seafood - Tươi ngon và giàu omega-3.,3.8,1205,0,70000,0,2372.0,2372.0,Đã giao hàng,Thẻ tín dụng,8359
2373,2373,2022-12-10 17:02:52,5309,55,Thời trang Nam/Nữ,Áo khoác,Áo khoác dù,Áo khoác dù thể thao,Nike,1099000,Áo khoác dù thể thao Nike - Thích hợp cho các hoạt động thể thao ngoài trời.,2.1,1634,0,1099000,0,,,Đang xử lý,Thanh toán,8251
2374,2374,2021-11-08 07:10:11,7038,144,Máy ảnh và Máy quay phim,Máy quay phim,Máy quay phim 4K,Máy quay phim 4K Panasonic Lumix GH5,Panasonic,27990000,Máy quay phim 4K Panasonic Lumix GH5 - Quay phim chuyên nghiệp.,4.9,1232,4,27990000,111960000,2374.0,,Đã tiếp nhận,Thẻ tín dụng,8265
2375,2375,2022-12-19 14:38:49,1666,136,Tiêu dùng nhanh,Đồ uống,Cà phê,Cà phê đen,Coffee Time,35000,Cà phê đen Coffee Time - Hương vị đậm đà và sảng khoái.,4.9,272,0,35000,0,,,Đã giao hàng,Mua hàng,8830
2376,2376,2022-03-11 01:34:47,4549,20,Sách,Sách tự lực,Sách lập kế hoạch,Kế Hoạch Thành Công,Nhã Nam,89000,Sách lập kế hoạch 'Kế Hoạch Thành Công' - Hướng dẫn xây dựng kế hoạch đạt đích thành công.,4.9,1492,2,89000,178000,,2376.0,Đang xử lý,Thanh toán,8447
2377,2377,2021-01-13 00:31:00,3432,114,Siêu thị đồ ăn,Thực phẩm đóng hộp,Sữa,Sữa đặc hộp,Nestle,25000,Sữa đặc hộp Nestle - Thơm ngon và bổ dưỡng.,2.3,218,1,25000,25000,,,Đã hoàn trả,Mua hàng,8195
2378,2378,2022-08-23 12:24:44,1396,119,Máy lọc không khí và Máy tạo ẩm,Máy tạo ẩm,Máy tạo ẩm Electrolux,Máy tạo ẩm Electrolux EHU-3710D,Electrolux,2290000,Máy tạo ẩm Electrolux EHU-3710D - Tạo độ ẩm phòng nhanh chóng.,2.9,189,0,2290000,0,2378.0,2378.0,Thành công,Mua hàng,8501
2379,2379,2022-12-03 07:00:06,9710,71,Siêu thị,Đồ uống,Nước ép trái cây,Nước ép trái cây táo,Juice World,30000,Nước ép trái cây táo Juice World - Tươi mát và bổ dưỡng.,3.1,1447,2,30000,60000,2379.0,2379.0,Đã tiếp nhận,Thẻ ghi nợ,8432
2380,2380,2021-08-07 08:04:28,8770,131,Thể thao và Dã ngoại,Xe đạp đua,Xe đạp đua địa hình,Xe đạp đua địa hình Trek Procaliber,Trek,24990000,Xe đạp đua địa hình Trek Procaliber - Sự lựa chọn hàng đầu của những tay đua chuyên nghiệp.,4.9,423,0,24990000,0,2380.0,,Đang xử lý,Mua hàng,8423
2381,2381,2021-03-14 05:40:51,1756,43,Siêu thị đồ ăn,Thực phẩm đóng gói,Snack,Snack hạt điều,Nutty Bites,25000,Snack hạt điều Nutty Bites - Ăn vặt ngon miệng và bổ dưỡng.,2.7,1642,14,25000,350000,2381.0,2381.0,Thành công,Thẻ tín dụng,8576
2382,2382,2020-03-26 01:06:31,6583,70,Rau củ,Rau,Cải ngọt,Cải ngọt trắng,Farmers' Market,15000,Cải ngọt trắng Farmers' Market - Tươi ngon và giàu chất dinh dưỡng.,4.7,917,0,15000,0,,,Đã xác nhận,Mua hàng,8087
2383,2383,2022-02-15 15:41:08,6436,13,Thể thao và Dã ngoại,Balo leo núi,Balo leo núi phong cách,Balo leo núi The North Face,The North Face,1990000,Balo leo núi The North Face - Đối tác đáng tin cậy trên mỗi cuộc hành trình.,4.8,854,0,1990000,0,2383.0,2383.0,Đã hủy,Hoàn tiền,8450
2384,2384,2021-08-18 23:41:13,5435,52,Thương mại điện tử,Máy ảnh,Máy ảnh mirrorless,Sony Alpha A7III,Sony,33000000,Máy ảnh Sony Alpha A7III - Chụp ảnh chuyên nghiệp và quay video 4K.,3.5,71,17,33000000,561000000,2384.0,2384.0,Đã xác nhận,Thanh toán,8405
2385,2385,2019-06-16 10:28:22,4006,22,Siêu thị đồ ăn,Thực phẩm đóng gói,Bánh quy,Bánh quy sữa,Biscuit Masters,15000,Bánh quy sữa Biscuit Masters - Ăn vặt ngon miệng.,4.7,321,0,15000,0,2385.0,2385.0,Đã tiếp nhận,Mua hàng,8523
2386,2386,2022-12-18 07:14:01,6786,42,Thể thao và Dã ngoại,Gậy golf,Gậy golf nam,Gậy golf nam Callaway Epic Speed,Callaway,3499000,Gậy golf nam Callaway Epic Speed - Đánh bóng xa và chính xác.,,592,0,3499000,0,2386.0,,Đã xác nhận,Thanh toán trực tuyến,8122
2387,2387,2021-04-27 15:18:44,7541,115,Đồ ăn,Thực phẩm đóng hộp,Thịt xông khói,Thịt xông khói Gà,Delimondo,65000,Thịt xông khói Gà Delimondo - Hương vị đặc trưng của Philippines.,4.6,1950,4,65000,260000,2387.0,,Đã giao hàng,Mua hàng,8799
2388,2388,2021-08-08 03:33:52,9820,72,Siêu thị đồ ăn,Đồ uống,Trà,Trà xanh Nhật Bản,Japanese Green Tea,35000,Trà xanh Nhật Bản Japanese Green Tea - Thơm ngon và thanh mát.,4.7,302,1,35000,35000,2388.0,,Đã hủy,Hoàn tiền,8979
2389,2389,2020-04-19 02:48:23,3758,55,Thời trang Nam/Nữ,Áo khoác,Áo khoác dù,Áo khoác dù thể thao,Nike,1099000,Áo khoác dù thể thao Nike - Thích hợp cho các hoạt động thể thao ngoài trời.,2.1,1634,3,1099000,3297000,2389.0,2389.0,Đã hủy,Thẻ tín dụng,8476
2390,2390,2018-07-07 04:11:13,9603,120,Tiêu dùng nhanh,Đồ ăn nhẹ,Bánh quy,Bánh quy socola,Sweet Treats,15000,Bánh quy socola Sweet Treats - Ăn vặt ngọt ngào và thơm ngon.,4.9,761,17,15000,255000,,2390.0,Thành công,Mua hàng,8280
2391,2391,2022-02-22 10:51:23,4024,131,Thể thao và Dã ngoại,Xe đạp đua,Xe đạp đua địa hình,Xe đạp đua địa hình Trek Procaliber,Trek,24990000,Xe đạp đua địa hình Trek Procaliber - Sự lựa chọn hàng đầu của những tay đua chuyên nghiệp.,4.9,423,0,24990000,0,,2391.0,Đang xử lý,Thẻ tín dụng,8919
2392,2392,2022-12-18 00:25:28,4943,100,Tiêu dùng nhanh,Đồ ăn nhẹ,Khoai tây chiên,Khoai tây chiên phô mai,Snack Delights,18000,Khoai tây chiên phô mai Snack Delights - Ăn vặt thú vị và ngon miệng.,3.5,1563,0,18000,0,2392.0,2392.0,Đã giao hàng,Thanh toán trực tuyến,8496
2393,2393,2022-02-16 13:49:16,9462,110,Laptop và Máy tính,Laptop,ThinkPad,ThinkPad X1 Carbon,Lenovo,30990000,Lenovo ThinkPad X1 Carbon Gen 9 - Máy tính xách tay doanh nghiệp cao cấp.,4.9,786,6,30990000,185940000,2393.0,,Đang xử lý,Thanh toán,8259
2394,2394,2021-01-13 21:57:43,7465,145,Sách,Sách triết học,Triết lý cuộc sống,Từ Tốt Đến Vĩ Đại,Jim Collins,89000,Sách triết học 'Từ Tốt Đến Vĩ Đại' của Jim Collins - Cuốn sách giúp doanh nghiệp phát triển và thành công.,4.7,1119,0,89000,0,2394.0,2394.0,Đã xác nhận,Mua hàng,8006
2395,2395,2021-04-24 19:32:22,4166,126,Đồng hồ,Đồng hồ nữ,Đồng hồ nữ dây da,Đồng hồ nữ dây da Daniel Wellington,Daniel Wellington,2799000,Đồng hồ nữ dây da Daniel Wellington - Phong cách tinh tế và thanh lịch.,2.3,82,1,2799000,2799000,,2395.0,Đã tiếp nhận,Mua hàng,8095
2396,2396,2021-10-24 03:35:58,9651,36,Siêu thị đồ ăn,Thực phẩm đóng hộp,Đậu hũ,Đậu hũ hấp,Tofu Brand,20000,Đậu hũ hấp Tofu Brand - Dinh dưỡng và ngon miệng.,3.2,256,0,20000,0,,,Đang xử lý,Thanh toán,8298
2397,2397,2021-11-19 10:10:43,3111,145,Sách,Sách triết học,Triết lý cuộc sống,Từ Tốt Đến Vĩ Đại,Jim Collins,89000,Sách triết học 'Từ Tốt Đến Vĩ Đại' của Jim Collins - Cuốn sách giúp doanh nghiệp phát triển và thành công.,4.7,1119,5,89000,445000,2397.0,,Đã hoàn trả,Mua hàng,8355
2398,2398,2022-10-14 22:46:51,311,109,Phụ kiện điện thoại,Pin dự phòng,Pin dự phòng 10000mAh,Pin dự phòng 10000mAh Anker,Anker,690000,Pin dự phòng 10000mAh Anker - Sạc nhanh và tiện lợi.,2.8,1291,4,690000,2760000,2398.0,,Thành công,Thanh toán,8072
2399,2399,2022-09-22 07:21:44,2921,49,Siêu thị đồ ăn,Thực phẩm tươi sống,Hải sản,Tôm sú,Fresh Seafood,100000,Tôm sú Fresh Seafood - Tươi ngon và thơm ngon.,3.2,1670,0,100000,0,2399.0,,Đã giao hàng,Mua hàng,8543
2400,2400,2022-10-11 17:40:47,215,119,Máy lọc không khí và Máy tạo ẩm,Máy tạo ẩm,Máy tạo ẩm Electrolux,Máy tạo ẩm Electrolux EHU-3710D,Electrolux,2290000,Máy tạo ẩm Electrolux EHU-3710D - Tạo độ ẩm phòng nhanh chóng.,2.9,189,3,2290000,6870000,2400.0,2400.0,Đã giao hàng,Thẻ ghi nợ,8615
2401,2401,2019-01-17 17:46:36,3255,8,Túi xách và Ví,Ví nam,Ví nam da bò,Ví nam da bò Montblanc,Montblanc,4999000,Ví nam da bò Montblanc - Phong cách sang trọng và thanh lịch.,4.8,226,2,4999000,9998000,,2401.0,Đã hủy,Thẻ ghi nợ,8176
2402,2402,2022-01-13 01:37:48,5489,134,Quần áo,Áo khoác,Áo khoác nam,Áo khoác nam North Face,The North Face,1200000,Áo khoác nam The North Face - Chống nước và ấm áp.,4.9,509,2,1200000,2400000,,,Đã tiếp nhận,Thẻ tín dụng,8874
2403,2403,2022-04-18 03:11:25,1490,44,Siêu thị,Thực phẩm đóng gói,Gạo,Gạo thơm,Premium Rice,45000,Gạo thơm Premium Rice - Thơm ngon và đậm đà hương vị.,4.9,957,3,45000,135000,2403.0,2403.0,Thành công,Mua hàng,8122
2404,2404,2022-04-12 06:20:03,7793,56,Điện gia dụng,Tivi,Tivi 4K,Tivi 4K 55 inch,LG,8990000,Tivi 4K 55 inch LG - Trải nghiệm hình ảnh siêu nét.,4.7,1007,1,8990000,8990000,2404.0,,Thành công,Thanh toán trực tuyến,8093
2405,2405,2021-01-10 03:19:23,8025,55,Thời trang Nam/Nữ,Áo khoác,Áo khoác dù,Áo khoác dù thể thao,Nike,1099000,Áo khoác dù thể thao Nike - Thích hợp cho các hoạt động thể thao ngoài trời.,2.1,1634,1,1099000,1099000,2405.0,,Thành công,Thanh toán,8522
2406,2406,2021-02-15 17:40:55,2749,52,Thương mại điện tử,Máy ảnh,Máy ảnh mirrorless,Sony Alpha A7III,Sony,33000000,Máy ảnh Sony Alpha A7III - Chụp ảnh chuyên nghiệp và quay video 4K.,3.5,71,1,33000000,33000000,2406.0,,Đã hủy,Thanh toán,8739
